wkt_geom,DEPOSIT_NA,CRITICAL_M,DEPOSIT_TY,LATITUDE,LONGITUDE,LOCATION,LOC_DETAIL
Point (-116.24849999967523217 47.53406999963084445),Coeur d'Alene district,Antimony,Simple Sb,47.53407,-116.2485,United States of America,Idaho
Point (14.3354700001404467 49.58199000033829407),Krasna Gora,Antimony,Au-Sb,49.58199,14.33547,Czech Republic,
Point (151.90686999985064176 -30.57138000028675151),Hillgrove,Antimony,Au-Sb,-30.57138,151.90687,Australia,
Point (120.24929000043323413 -21.82987000010035672),Blue Spec,Antimony,Au-Sb,-21.82987,120.24929,Australia,
Point (-135.21665999975914474 60.1833299995798825),Becker Cochrane,Antimony,Simple Sb,60.18333,-135.21666,Canada,
Point (-99.66702999973466603 18.25068000038174887),La Cruz Mine Zone,Antimony,Disseminated Sb,18.25068,-99.66703,Mexico,
Point (-100.94999999960026571 23.54999999980020675),San Jose mines,Antimony,Simple Sb,23.55,-100.95,Mexico,
Point (3.1875000000250111 45.20610999997654744),Brioude-Massiac,Antimony,Simple Sb,45.20611,3.1875,France,
Point (0.95000000000004547 48.41659999979020768),La Lucette,Antimony,Au-Sb,48.4166,0.95,France,
Point (136.92511000042622982 66.46166999987065083),Sentachan,Antimony,Au-Sb,66.46167,136.92511,Russia,
Point (-67.03259000012837987 45.86662999997457746),Lake George,Antimony,Disseminated Sb,45.86663,-67.03259,Canada,
Point (-55.23388499979284916 48.70141200026364459),Beaver Brook (Hunan),Antimony,Simple Sb,48.701412,-55.233885,Canada,
Point (92.91800700002306712 59.86988099960848331),Olympiada,Antimony,Au-Sb,59.869881,92.918007,Russia,
Point (142.52909999966527721 64.34891999975826593),Sarylakh,Antimony,Au-Sb,64.34892,142.5291,Russia,
Point (-157.45400000009988162 68.14999999970029876),Cutaway basin,Barite,Bedded-sedimentary,68.15,-157.454,United States of America,Alaska
Point (-116.69600000039969245 40.58000000029983312),Nevada,Barite,Bedded-sedimentary,40.58,-116.696,United States of America,Nevada
Point (-117.86799999999993815 48.90799999970028011),Flagstaff Mountain,Barite,Bedded-sedimentary,48.908,-117.868,United States of America,Washington
Point (-92.81600000009990481 34.47100000034976119),Ouachita Mountains,Barite,Bedded-sedimentary,34.471,-92.816,United States of America,Arkansas
Point (-129.99999999999994316 63.00000000009998757),Selwyn Basin,Barite,Bedded-sedimentary,63,-130,Canada,
Point (79.32000000039977294 14.01999999960037258),Cuddapah,Barite,Bedded-sedimentary,14.02,79.32,India,
Point (109.16700000024985684 27.14999999980022949),Jiangnan,Barite,Bedded-sedimentary,27.15,109.167,China,
Point (109.99999999970026465 30.00000000039972292),Qinling,Barite,Bedded-sedimentary,30,110,China,
Point (9.03000000039975248 40.22899999985014574),Sardinia,Barite,Bedded-sedimentary,40.229,9.03,Italy,Sardinia
Point (18.78999999960035439 -29.24999999990001243),Aggeneys-Gamsberg,Barite,Bedded-sedimentary,-29.25,18.79,South Africa,
Point (66.66500000014991656 27.05900000044971421),Lasbela-Khuzdar,Barite,Bedded-sedimentary,27.059,66.665,Pakistan,
Point (72.94599999990015249 44.28400000019991012),Chiganak,Barite,Bedded-sedimentary,44.284,72.946,Kazakhstan,
Point (-70.00000000029973535 -36.99999999970020781),Neuquen-Mendoza,Barite,Bedded-sedimentary,-37,-70,Argentina,
Point (-66.99899999975013998 -29.90000000039964334),La Helvecia,Barite,Bedded-sedimentary,-29.9,-66.999,Argentina,
