Country,Sub-commodity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,Cerium compounds                                  ,888,1102,946,1726,2276,1239,0,,,,
Austria,Metals                                            ,500,532,475,393,469,449,30,,,,
Austria,Other rare earth compounds                        ,5696,6166,7552,7273,4955,4735,100,,,,
Belgium,Cerium compounds                                  ,,,189,83,136,178,230,,,,
Belgium,Metals                                            ,134,171,202,50,70,44,20,,,,
Belgium,Other rare earth compounds                        ,,,90,243,239,105,4,,,,
Belgium,Rare earth compounds                              ,141,180,,,,,,,,,
Czech Republic,Rare earth compounds                              ,0,2,2,2,7,10,12,,,,
Estonia,Cerium compounds                                  ,,,1718,1854,2337,1854,1985,,,,
Estonia,Metals                                            ,42,77,,,,,,,,,
Estonia,Other rare earth compounds                        ,,,1084,1116,1048,1168,1140,,,,
Estonia,Rare earth compounds                              ,3210,3482,,,,,,,,,
Finland,Rare earth compounds                              ,0,84,86,10,58,82,378,,,,
France,Metals                                            ,12,14,10,21,17,18,12,,,,
France,Rare earth compounds                              ,2097,1878,843,908,982,882,373,,,,
Germany,Cerium compounds                                  ,,,414,625,515,477,479,,,,
Germany,Metals                                            ,10,9,12,20,6,10,30,,,,
Germany,Other rare earth compounds                        ,,,137,144,179,271,223,,,,
Germany,Rare earth compounds                              ,699,319,,,,,,,,,
Hungary,Cerium compounds                                  ,,,,5,1,1,0,,,,
Italy,Cerium compounds                                  ,,,47,44,47,81,90,,,,
Italy,Metals                                            ,111,100,160,17,1,0,0,,,,
Italy,Other rare earth compounds                        ,,,203,180,185,229,127,,,,
Italy,Rare earth compounds                              ,353,319,,,,,,,,,
Lithuania,Cerium compounds                                  ,7,9,5,4,7,5,6,,,,
Netherlands,Cerium compounds                                  ,,,180,62,60,194,238,,,,
Netherlands,Metals                                            ,163,2688,142,308,361,347,423,,,,
Netherlands,Other rare earth compounds                        ,,,43,89,166,45,68,,,,
Netherlands,Rare earth compounds                              ,341,256,,,,,,,,,
North Macedonia,Rare earth compounds                              ,,,,0,8,2,5,,,,
Norway,Metals                                            ,5,54,,,,,,,,,
Norway,Rare earth compounds                              ,13,35,15,21,26,20,17,,,,
Poland,Cerium compounds                                  ,1,9,20,14,4,20,21,,,,
Poland,Other rare earth compounds                        ,3,4,5,3,4,80,1,,,,
Slovenia,Cerium compounds                                  ,3,0,2,7,2,3,1,,,,
Slovenia,Metals                                            ,2,1,3,4,6,1,1,,,,
Slovenia,Other rare earth compounds                        ,,,,,1,26,10,,,,
Spain,Cerium compounds                                  ,8,25,38,32,46,56,18,,,,
Spain,Metals                                            ,1,2,2,83,22,2,22,,,,
Spain,Other rare earth compounds                        ,9,9,6,5,11,20,11,,,,
Sweden,Cerium compounds                                  ,5,3,3,16,0,4,2,,,,
Switzerland,Cerium compounds                                  ,5,3,,,,,,,,,
Switzerland,Other rare earth compounds                        ,5,1,,,,,,,,,
Switzerland,Rare earth compounds                              ,,,5,5,5,3,4,,,,
Turkey,Cerium compounds                                  ,5,9,23,21,24,23,37,,,,
Turkey,Other rare earth compounds                        ,0,50,,0,5,0,1,,,,
United Kingdom,Cerium compounds                                  ,273,48,24,280,38,775,151,36,38,112,102
United Kingdom,Ferro-cerium & other pyrophoric alloys            ,,,152,47,1,25,50,45,10,1,21
United Kingdom,Metals                                            ,54,65,18,17,9,13,12,10,8,5,2
United Kingdom,Other rare earth compounds                        ,214,220,275,259,165,278,356,218,104,61,69
