Country,Sub-commodity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,Cerium compounds                                  ,696,979,765,1006,905,989,70,,,,
Austria,Metals                                            ,442,595,429,492,643,672,30,,,,
Austria,Other rare earth compounds                        ,802,1630,1973,2170,2141,1510,100,,,,
Belgium,Cerium compounds                                  ,146,204,401,129,206,142,244,,,,
Belgium,Metals                                            ,136,205,6,8,16,17,69,,,,
Belgium,Other rare earth compounds                        ,41,52,19,131,196,76,11,,,,
Cyprus,Cerium compounds                                  ,16,,,,,,,,,,
Czech Republic,Cerium compounds                                  ,,,67,65,39,73,54,,,,
Czech Republic,Metals                                            ,,,1,1,2,11,1,,,,
Czech Republic,Other rare earth compounds                        ,,,207,193,454,190,162,,,,
Czech Republic,Rare earth compounds                              ,344,190,,,,,,,,,
Denmark,Cerium compounds                                  ,19,16,8,12,2,1,0,,,,
Denmark,Other rare earth compounds                        ,3,20,20,11,20,0,47,,,,
Estonia,Cerium compounds                                  ,545,300,235,0,5651,4278,5100,,,,
Estonia,Other rare earth compounds                        ,4499,4494,6057,7872,7,0,2,,,,
Finland,Cerium compounds                                  ,18,23,14,24,22,24,34,,,,
Finland,Other rare earth compounds                        ,5,3,1,2,6,10,24,,,,
France,Cerium compounds                                  ,3940,1900,500,500,300,200,300,,,,
France,Metals                                            ,280,338,191,161,179,297,196,,,,
France,Other rare earth compounds                        ,1301,1396,574,623,693,563,466,,,,
Germany,Cerium compounds                                  ,553,862,1601,2783,3459,2377,1164,,,,
Germany,Metals                                            ,290,267,276,296,340,300,327,,,,
Germany,Other rare earth compounds                        ,4155,5862,5618,5693,5879,6631,8237,,,,
Greece,Rare earth compounds                              ,11,12,3,1,4,8,7,,,,
Hungary,Cerium compounds                                  ,31,20,42,19,14,11,9,,,,
Hungary,Other rare earth compounds                        ,31,11,15,7,54,29,26,,,,
"Ireland, Republic of",Rare earth compounds                              ,,,4,1,2,18,15,,,,
Italy,Cerium compounds                                  ,337,565,220,170,296,249,237,,,,
Italy,Metals                                            ,30,62,96,103,4,3,8,,,,
Italy,Other rare earth compounds                        ,257,232,276,325,422,265,161,,,,
Latvia,Other rare earth compounds                        ,,,,,,,,,,,
Lithuania,Cerium compounds                                  ,,,4,1,7,6,3,,,,
Lithuania,Metals                                            ,,,,,,,,,,,
Lithuania,Rare earth compounds                              ,10,11,,,,,,,,,
Luxembourg,Rare earth compounds                              ,2,1,183,5,2,0,2,,,,
Netherlands,Cerium compounds                                  ,401,269,454,711,1492,274,263,,,,
Netherlands,Metals                                            ,99,75,296,267,355,321,277,,,,
Netherlands,Other rare earth compounds                        ,742,878,628,315,324,546,473,,,,
North Macedonia,Cerium compounds                                  ,7,31,123,219,72,20,33,,,,
North Macedonia,Other rare earth compounds                        ,0,0,0,0,160,204,248,,,,
Norway,Cerium compounds                                  ,,,3,1,1,11,1,,,,
Norway,Metals                                            ,438,439,361,388,417,427,765,,,,
Norway,Other rare earth compounds                        ,,,11,16,45,15,71,,,,
Norway,Rare earth compounds                              ,12,17,,,,,,,,,
Poland,Cerium compounds                                  ,68,104,184,167,325,629,1364,,,,
Poland,Metals                                            ,2,27,2,108,556,52,22,,,,
Poland,Other rare earth compounds                        ,13,13,14,19,20,33,38,,,,
Portugal,Cerium compounds                                  ,7,6,1,3,2,1,1,,,,
Portugal,Metals                                            ,,,1,1,1,33,476,,,,
Portugal,Other rare earth compounds                        ,3,3,3,5,3,3,5,,,,
Romania,Rare earth compounds                              ,2,1,4,3,5,2,2,,,,
Serbia,Cerium compounds                                  ,1,1,,,,,,,,,
Serbia,Metals                                            ,,,,,3,1,6,,,,
Serbia,Rare earth compounds                              ,,,2,3,5,3,6,,,,
Slovakia,Rare earth compounds                              ,7,10,9,9,10,10,12,,,,
Slovenia,Cerium compounds                                  ,,,1,2,12,9,13,,,,
Slovenia,Metals                                            ,55,61,65,85,81,96,69,,,,
Slovenia,Other rare earth compounds                        ,,,12,7,2,1,1,,,,
Slovenia,Rare earth compounds                              ,9,5,,,,,,,,,
Spain,Cerium compounds                                  ,455,729,457,256,235,356,329,,,,
Spain,Metals                                            ,19,93,296,529,395,276,454,,,,
Spain,Other rare earth compounds                        ,155,438,266,266,318,414,196,,,,
Sweden,Cerium compounds                                  ,31,1,1,3,3,1,3,,,,
Sweden,Metals                                            ,72,62,52,47,41,41,33,,,,
Sweden,Other rare earth compounds                        ,16,37,21,20,4,7,15,,,,
Switzerland,Cerium compounds                                  ,15,11,14,35,16,9,13,,,,
Switzerland,Metals                                            ,21,11,5,3,0,1,0,,,,
Switzerland,Other rare earth compounds                        ,17,40,38,45,46,78,114,,,,
Turkey,Cerium compounds                                  ,120,160,103,115,205,108,194,,,,
Turkey,Metals                                            ,10,5,8,9,3,4,4,,,,
Turkey,Other rare earth compounds                        ,4,11,11,27,18,30,51,,,,
United Kingdom,Cerium compounds                                  ,485,633,603,693,502,1302,437,563,108,322,386
United Kingdom,Ferro-cerium & other pyrophoric alloys            ,,,28,29,67,41,1,4,27,10,28
United Kingdom,Metals                                            ,65,128,127,42,10,6,0,0,0,3,25
United Kingdom,Other rare earth compounds                        ,518,654,591,565,341,628,499,563,334,184,255
