"
	Country",Sub-commodity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,Metal                                             ,317,159,609,992,1134,1572,1631,,,,
Austria,Oxides                                            ,3965,4052,6093,6135,5633,7898,7270,,,,
Belgium,Metal                                             ,1560,1336,1038,1186,1116,2109,1666,,,,
Belgium,Oxides                                            ,345752,399734,381857,394712,401823,430029,430872,,,,
Belgium,Titanium minerals                                 ,119931,96990,104513,129919,82786,176792,207013,,,,
Bulgaria,Metal                                             ,64,114,,,,,,,,,
Bulgaria,Oxides                                            ,408,258,274,429,387,1316,851,,,,
Croatia,Oxides                                            ,42,519,983,1320,1505,1441,1462,,,,
Czech Republic,Metal                                             ,384,368,725,932,973,1462,1612,,,,
Czech Republic,Oxides                                            ,43174,45164,51595,51397,53867,53558,51152,,,,
Czech Republic,Titanium minerals                                 ,684,758,761,867,776,796,861,,,,
Denmark,Metal                                             ,194,193,316,378,374,280,382,,,,
Denmark,Oxides                                            ,10732,10385,10131,9935,6721,7875,7083,,,,
Estonia,Metal                                             ,23,41,58,50,64,629,1225,,,,
Estonia,Oxides                                            ,468,396,,,,,,,,,
Finland,Metal                                             ,,,25,49,28,25,82,,,,
Finland,Oxides                                            ,66000,83000,78000,224589,249763,32000,17000,,,,
Finland,Titanium minerals                                 ,,171,3017,4000,2500,2000,3000,,,,
France,Metal                                             ,5946,6633,8838,9729,10522,12018,12633,,,,
France,Oxides                                            ,114715,127319,111622,108984,100013,83936,82662,,,,
Germany,Metal                                             ,12561,13824,14096,16097,14747,16796,18314,,,,
Germany,Oxides                                            ,331757,374970,351825,363899,393014,415062,370581,,,,
Germany,Titanium minerals                                 ,13792,51608,5623,8294,5919,5896,10065,,,,
Greece,Oxides                                            ,744,1079,729,386,1547,1115,770,,,,
Hungary,Metal                                             ,68,48,53,110,110,139,156,,,,
Hungary,Oxides                                            ,1298,1871,2002,2873,3076,3404,3608,,,,
Italy,Metal                                             ,4531,4756,5315,4791,5501,6634,7324,,,,
Italy,Oxides                                            ,22039,37137,35730,33020,32480,38694,36752,,,,
Latvia,Metal                                             ,42,2,1,0,92,383,327,,,,
Lithuania,Metal                                             ,3,6,93,57,66,73,117,,,,
Lithuania,Oxides                                            ,1029,1122,1486,1413,1291,1598,1000,,,,
Luxembourg,Metal                                             ,17,151,164,212,206,219,222,,,,
Luxembourg,Oxides                                            ,0,21040,25550,46442,53693,51178,47320,,,,
Netherlands,Metal                                             ,10173,8815,5403,3151,3250,4107,2548,,,,
Netherlands,Oxides                                            ,14836,114285,119100,11904,13471,12016,18411,,,,
Netherlands,Titanium minerals                                 ,57796,3396,2503,2225,2164,11708,6263,,,,
Norway,Metal                                             ,243,271,468,435,161,224,390,,,,
Norway,Oxides                                            ,31000,35000,38000,43000,44000,56000,38000,,,,
Norway,Titanium minerals                                 ,392000,396000,420000,357000,387000,659000,517000,,,,
Poland,Metal                                             ,47,47,459,490,995,1482,1088,,,,
Poland,Oxides                                            ,20201,20329,14517,20427,23125,25833,26320,,,,
Portugal,Oxides                                            ,5322,6733,6934,8641,5570,7892,6114,,,,
Romania,Metal                                             ,375,615,287,299,526,863,1514,,,,
Romania,Oxides                                            ,536,433,583,827,1063,1385,1005,,,,
Slovakia,Metal                                             ,199,91,101,20,7,20,14,,,,
Slovenia,Metal                                             ,356,347,315,360,347,285,252,,,,
Slovenia,Oxides                                            ,47488,58140,56320,64093,66248,66274,49516,,,,
Spain,Metal                                             ,1779,2896,1888,2212,2155,2477,2168,,,,
Spain,Oxides                                            ,51919,85355,81080,87475,98387,112065,106809,,,,
Spain,Titanium minerals                                 ,4011,297,,,,,,,,,
Sweden,Metal                                             ,1111,981,1453,1421,998,892,1080,,,,
Sweden,Oxides                                            ,16429,15109,16125,20091,19179,25214,21120,,,,
Switzerland,Metal                                             ,724,887,1038,1040,1035,1249,1195,,,,
Switzerland,Oxides                                            ,1623,2009,2130,1585,1647,2506,2612,,,,
Turkey,Metal                                             ,122,193,327,213,195,337,489,,,,
Turkey,Oxides                                            ,2538,2749,2821,3136,4184,5924,7075,,,,
United Kingdom,Metal                                             ,11541,11493,11911,13181,14559,15878,16227,,,,
United Kingdom,Oxides                                            ,142135,169548,191395,180821,228974,240056,226135,,,,
United Kingdom,Titanium minerals                                 ,,,24,34,8,16,79,,,,
United Kingdom,Unwrought,,,1362,1556,1346,1297,2064,,,,
United Kingdom,Wrought,,,6316,5872,7155,7006,7143,,,,
