Country,Sub-commodity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Albania,Oxides                                            ,284,341,92,422,556,618,545,,,,
Austria,Metal                                             ,3130,2737,2859,3039,2797,2768,2577,,,,
Austria,Oxides                                            ,21255,20972,26352,26641,29706,33006,27627,,,,
Austria,Titanium minerals                                 ,,,388,475,363,827,884,,,,
Belgium,Metal                                             ,1160,1454,1444,1241,1213,1547,2409,,,,
Belgium,Oxides                                            ,97229,126543,124733,97572,111330,50948,391217,,,,
Belgium,Titanium minerals                                 ,205930,174657,221108,227826,158768,315094,261540,,,,
Bulgaria,Metal                                             ,127,89,75,8,9,10,28,,,,
Bulgaria,Oxides                                            ,4593,4897,4885,4827,5074,6393,5100,,,,
Bulgaria,Titanium minerals                                 ,735,0,,,,,,,,,
Croatia,Oxides                                            ,2194,3257,2954,3579,3705,3793,3615,,,,
Cyprus,Oxides                                            ,783,621,583,632,650,760,686,,,,
Cyprus,Titanium minerals                                 ,,,,,,,,,,,
Czech Republic,Metal                                             ,1717,1884,1956,1984,1926,2713,2746,,,,
Czech Republic,Oxides                                            ,7763,8863,10398,10009,12166,15176,15782,,,,
Czech Republic,Titanium minerals                                 ,98071,100317,107926,113764,107031,132791,107438,,,,
Denmark,Metal                                             ,1948,1036,1255,1170,421,696,755,,,,
Denmark,Oxides                                            ,17706,20220,22668,19939,17914,18108,19006,,,,
Estonia,Metal                                             ,683,2229,3985,4585,6603,6774,4055,,,,
Estonia,Oxides                                            ,1921,1808,1312,1261,1350,1593,1123,,,,
Finland,Metal                                             ,81,62,246,297,564,1413,2050,,,,
Finland,Oxides                                            ,13638,14391,13669,12633,11116,26272,32318,,,,
Finland,Titanium minerals                                 ,20,39888,10,16000,137000,50,0,,,,
France,Metal                                             ,11881,13169,16267,17493,18746,19642,21152,,,,
France,Oxides                                            ,123037,129659,139199,179572,167042,155586,147744,,,,
France,Titanium minerals                                 ,184385,91344,161216,57675,75752,78838,58112,,,,
Germany,Metal                                             ,17015,16198,17038,18308,17441,20541,22395,,,,
Germany,Oxides                                            ,264304,309892,321016,317074,352098,377865,339089,,,,
Germany,Titanium minerals                                 ,648030,612633,699059,684402,676035,916948,797467,,,,
Greece,Metal                                             ,47,260,141,85,103,61,73,,,,
Greece,Oxides                                            ,12378,16796,16158,15531,19324,17726,18476,,,,
Greece,Titanium minerals                                 ,220,275,,,,,,,,,
Hungary,Metal                                             ,116,143,149,157,170,232,219,,,,
Hungary,Oxides                                            ,7325,8809,9606,11464,11900,12263,11817,,,,
Hungary,Titanium minerals                                 ,3038,3254,3214,1666,2378,1780,2356,,,,
Iceland,Metal                                             ,75,80,154,88,249,160,228,,,,
"Ireland, Republic of",Metal                                             ,432,1297,1558,2267,481,425,335,,,,
"Ireland, Republic of",Oxides                                            ,3924,4044,4207,5101,6187,7596,7013,,,,
Italy,Metal                                             ,7367,6065,6630,7367,8129,8078,9502,,,,
Italy,Oxides                                            ,137976,143083,155263,157987,172988,185051,164197,,,,
Italy,Titanium minerals                                 ,103454,55323,102316,84586,102644,92260,63792,,,,
Latvia,Metal                                             ,11,8,2,1,219,234,57,,,,
Latvia,Oxides                                            ,640,586,699,959,789,798,1127,,,,
Lithuania,Metal                                             ,38,71,78,140,126,174,143,,,,
Lithuania,Oxides                                            ,2028,2686,2362,2553,2593,3409,3009,,,,
Luxembourg,Metal                                             ,786,1898,1039,290,225,188,158,,,,
Luxembourg,Oxides                                            ,1494,13393,15235,40349,41340,41104,30457,,,,
Malta,Oxides                                            ,346,382,361,411,472,340,389,,,,
Netherlands,Metal                                             ,5709,5902,4678,2884,3502,3728,3567,,,,
Netherlands,Oxides                                            ,38792,58718,58775,38263,40189,45784,42094,,,,
Netherlands,Titanium minerals                                 ,158679,83675,114468,108341,104702,115244,104310,,,,
North Macedonia,Oxides                                            ,455,546,528,543,642,449,610,,,,
Norway,Metal                                             ,890,671,762,665,676,722,614,,,,
Norway,Oxides                                            ,8093,7214,7115,7359,7869,11872,9991,,,,
Norway,Titanium minerals                                 ,,26238,26780,75110,157102,289480,262968,,,,
Poland,Metal                                             ,329,270,377,402,922,623,633,,,,
Poland,Oxides                                            ,44098,48200,52495,59769,68572,76948,95836,,,,
Poland,Titanium minerals                                 ,84143,96894,92439,89042,81038,103063,75061,,,,
Portugal,Metal                                             ,38,32,226,261,220,79,137,,,,
Portugal,Oxides                                            ,14788,23016,24277,24963,26007,28201,25384,,,,
Portugal,Titanium minerals                                 ,429,517,885,828,787,563,325,,,,
Romania,Metal                                             ,776,801,543,640,986,1003,1237,,,,
Romania,Oxides                                            ,7511,8996,9451,10229,11181,13533,12729,,,,
Romania,Titanium minerals                                 ,1354,1721,1930,1897,1857,1859,1260,,,,
Serbia,Oxides                                            ,3960,4336,4430,4874,5658,6031,5952,,,,
Slovakia,Metal                                             ,643,778,801,465,210,242,269,,,,
Slovakia,Oxides                                            ,2163,2776,2843,2477,2618,2288,2310,,,,
Slovakia,Titanium minerals                                 ,2,4,6847,9,11,0,3,,,,
