Country,Sub-commodity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Australia,Ilmenite                                          ,1331400,1313800,1138000,1146935,765399,693763,569472,596288,634165,519875,500000
Australia,Leucoxene                                         ,228000,225500,241000,246000,73380,57148,69183,46743,79058,31754,38453
Australia,Rutile                                            ,439600,250400,340700,294600,284772,227462,209762,154507,156389,138906,99995
Brazil,Ilmenite                                          ,69071,78264,81278,80975,66500,50000,76039,90070,61848,132998,17369
Brazil,Rutile                                            ,1881,2021,1834,,,,,,,,
Burundi,,,,,,,,,,,,
Canada,Ilmenite                                          ,2700000,2800000,2500000,1900000,1800000,2300000,2000000,2100000,1900000,1700000,2100000
China,Ilmenite                                          ,1340000,1420000,4240000,3910000,3800000,3830000,4200000,4600000,5100000,5100000,5100000
Gambia,Ilmenite                                          ,,,,,,3975,1000,9000,6000,14000,12000
India,Ilmenite                                          ,738524,721959,643128,626135,594978,284667,265931,265000,265000,265000,265000
India,Rutile                                            ,16527,13459,15617,16723,14898,11829,11045,11000,11000,11000,11000
Kazakhstan,,17000,17000,17000,17000,17000,9400,10000,10000,8000,10000,16000
Kenya,Ilmenite                                          ,0,0,281543,444999,359885,491000,463000,352000,334900,345000,188000
Kenya,Rutile                                            ,0,0,52465,78947,69975,87167,98132,85796,72836,69844,163242
Korea (Rep. of),Ilmenite                                          ,201976,229723,240892,204082,166900,223039,213184,295987,287895,322581,137976
Madagascar,Ilmenite                                          ,562000,562000,333736,166290,267962,430479,381924,448185,499768,582000,545000
Madagascar,Rutile                                            ,11000,12000,6900,4800,5400,8100,5070,5947,6000,6000,6000
Malaysia,Ilmenite                                          ,22275,16043,8159,5814,4316,6363,14158,2334,2548,4598,24076
Malaysia,Rutile                                            ,20008,5983,3069,198,3810,5266,5070,5947,5136,11513,8359
Mozambique,Ilmenite                                          ,574500,720100,854600,763500,903300,998200,958500,892900,756000,1119400,1088334
Mozambique,Rutile                                            ,5100,4000,6100,6000,7800,9133,8154,8278,5957,8914,8870
Norway,Ilmenite                                          ,830614,826126,863660,630323,630000,630000,630000,630000,522221,671833,615995
Russia,Ilmenite                                          ,125095,150458,178426,193236,60000,0,0,0,0,1961,1532
Saudi Arabia,Ilmenite                                          ,,,,,,,500,100,2800,3700,9700
Senegal,Ilmenite                                          ,0,0,100590,427690,416249,492441,506938,491602,505000,723600,742000
Senegal,Leucoxene                                         ,0,0,663,5311,9664,9975,9605,10130,9500,16400,10487
Sierra Leone,Ilmenite                                          ,21400,32350,35839,48420,28102,57040,49510,63350,50963,53802,58610
Sierra Leone,Rutile                                            ,94490,120350,115078,126021,148541,165470,108320,136790,116569,131311,135818
South Africa,Ilmenite                                          ,1203000,1070000,1105000,1280000,1020000,550000,765000,1100000,1020000,1000000,900000
South Africa,Rutile                                            ,141000,73400,133000,67000,67000,95000,103000,110000,86000,95000,95000
Sri Lanka,Ilmenite                                          ,44707,42685,32972,39439,26159,53734,60847,43789,18016,49068,31492
Sri Lanka,Rutile                                            ,1590,1406,2111,1808,2237,2174,2174,1959,1311,1881,741
Thailand,Ilmenite                                          ,,,,0,0,8,41,5095,153,66,2
Turkey,Rutile                                            ,,,,,,,6498,6450,6795,7451,7226
USA,,200000,200000,100000,300000,100000,100000,100000,100000,100000,100000,200000
Ukraine,Ilmenite                                          ,246800,670000,450000,500000,500000,500000,745417,818543,773093,702249,350000
Ukraine,Rutile                                            ,58000,162000,110000,90000,90000,90000,106858,115500,110500,97500,50000
Vietnam,Ilmenite                                          ,978300,1025800,558000,237700,210800,225300,235126,216700,268800,300000,331500
