Country,Sub-commodity,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Austria,Concentrates                                      ,1344,1193,1132,927,897,1084,1140,,,,
Belgium,Concentrates                                      ,12682,17652,10321,14879,30960,38819,33960,,,,
Belgium,Metal                                             ,309,382,306,417,290,435,372,,,,
Czech Republic,Concentrates                                      ,595,682,767,564,335,612,597,,,,
Czech Republic,Metal                                             ,24,46,187,38,19,24,21,,,,
Estonia,Metal                                             ,,,20,30,35,56,148,,,,
France,Concentrates                                      ,25784,26688,17834,22518,22731,22092,27113,,,,
France,Metal                                             ,436,363,3863,1442,3716,3501,3246,,,,
Germany,Metal                                             ,956,983,867,555,825,871,942,,,,
Hungary,Concentrates                                      ,1965,1444,1209,2367,2538,2182,1937,,,,
Italy,Concentrates                                      ,40897,56430,55743,64497,54600,52605,52483,,,,
Italy,Metal                                             ,135,141,80,66,83,151,151,,,,
Latvia,Concentrates                                      ,165,352,540,120,56,204,0,,,,
Netherlands,Concentrates                                      ,17070,6651,19942,38135,31870,26809,28764,,,,
Netherlands,Metal                                             ,211,152,206,210,113,221,139,,,,
Norway,Concentrates                                      ,1,,406,515,498,665,457,,,,
Poland,Concentrates                                      ,670,735,759,476,744,1347,1800,,,,
Portugal,Concentrates                                      ,2386,2574,3555,4044,3442,3553,2984,,,,
Portugal,Metal                                             ,28,27,12,168,107,121,105,,,,
Romania,Metal                                             ,1,46,106,148,206,234,226,,,,
Spain,Concentrates                                      ,63341,99858,116434,128169,129250,139556,126863,,,,
Spain,Metal                                             ,124,136,136,102,107,83,135,,,,
Sweden,Metal                                             ,146,119,121,126,161,102,203,,,,
Turkey,Concentrates                                      ,3268,4130,4808,5547,8649,7665,6629,,,,
United Kingdom,Concentrates                                      ,8928,6879,7974,6265,6087,7524,8060,6589,6836,5546,6918
United Kingdom,Metal                                             ,482,513,391,351,277,349,323,388,230,158,335
